X1;V10.0;Etape 1
X2;V10.1;Etape 2
X3;V10.2;Etape 3
X4;V10.3;Etape 4
X5;V10.4;Etape 5
X6;V10.5;Etape 6
X7;V10.6;Etape 7
X8;V10.7;Etape 8
X9;V11.0;Etape 9
X10;V11.1;Etape 10
X11;V11.2;Etape 11
X12;V11.3;Etape 12
X13;V11.4;Etape 13
X14;V11.5;Etape 14
X15;V11.6;Etape 15
X16;V11.7;Etape 16
X17;V12.0;Etape 17
X18;V12.1;Etape 18
X19;V12.2;Etape 19
X20;V12.3;Etape 20
X21;V12.4;Etape 21
X22;V12.5;Etape 22
X23;V12.6;Etape 23
X24;V12.7;Etape 24
X25;V13.0;Etape 25
X26;V13.1;Etape 26
X27;V13.2;Etape 27
X28;V13.3;Etape 28
X29;V13.4;Etape 29
X30;V13.5;Etape 30
X31;V13.6;Etape 31
X32;V13.7;Etape 32
X33;V14.0;Etape 33
X34;V14.1;Etape 34
X35;V14.2;Etape 35
X36;V14.3;Etape 36
X38;V14.5;Etape 38
X39;V14.6;Etape 39
X40;V14.7;Etape 40
X41;V15.0;Etape 41
X42;V15.1;Etape 42
X43;V15.2;Etape 43
X44;V15.3;Etape 44
X45;V15.4;Etape 45
X46;V15.5;Etape 46
