Y1;V30.0;Condition de franchissement de la transition 1
Y2;V30.1;Condition de franchissement de la transition 2
Y3;V30.2;Condition de franchissement de la transition 3
Y4;V30.3;Condition de franchissement de la transition 4
Y6;V30.5;Condition de franchissement de la transition 6
Y7;V30.6;Condition de franchissement de la transition 7
Y8;V30.7;Condition de franchissement de la transition 8
Y9;V31.0;Condition de franchissement de la transition 9
Y10;V31.1;Condition de franchissement de la transition 10
Y11;V31.2;Condition de franchissement de la transition 11
Y12;V31.3;Condition de franchissement de la transition 12
Y13;V31.4;Condition de franchissement de la transition 13
Y14;V31.5;Condition de franchissement de la transition 14
Y15;V31.6;Condition de franchissement de la transition 15
Y17;V32.0;Condition de franchissement de la transition 17
Y18;V32.1;Condition de franchissement de la transition 18
Y19;V32.2;Condition de franchissement de la transition 19
Y20;V32.3;Condition de franchissement de la transition 20
Y21;V32.4;Condition de franchissement de la transition 21
Y22;V32.5;Condition de franchissement de la transition 22
Y23;V32.6;Condition de franchissement de la transition 23
Y24;V32.7;Condition de franchissement de la transition 24
Y25;V33.0;Condition de franchissement de la transition 25
Y26;V33.1;Condition de franchissement de la transition 26
Y27;V33.2;Condition de franchissement de la transition 27
Y28;V33.3;Condition de franchissement de la transition 28
Y29;V33.4;Condition de franchissement de la transition 29
Y30;V33.5;Condition de franchissement de la transition 30
Y31;V33.6;Condition de franchissement de la transition 31
Y32;V33.7;Condition de franchissement de la transition 32
Y33;V34.0;Condition de franchissement de la transition 33
Y34;V34.1;Condition de franchissement de la transition 34
Y35;V34.2;Condition de franchissement de la transition 35
Y36;V34.3;Condition de franchissement de la transition 36
Y37;V34.4;Condition de franchissement de la transition 37
Y38;V34.5;Condition de franchissement de la transition 38
Y39;V34.6;Condition de franchissement de la transition 39
Y40;V34.7;Condition de franchissement de la transition 40
Y41;V35.0;Condition de franchissement de la transition 41
Y42;V35.1;Condition de franchissement de la transition 42
Y43;V35.2;Condition de franchissement de la transition 43
Y44;V35.3;Condition de franchissement de la transition 44
Y45;V35.4;Condition de franchissement de la transition 45
Y46;V35.5;Condition de franchissement de la transition 46
